,county,state,Abbreviation,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute
0,Abbeville,South Carolina,South CarolinaAbbeville,12433,8215,4101,35254,2259,27.2,20.7,20.8,10.6,20.7,6.5,25.8
1,Acadia,Lousiana,LousianaAcadia,28425,22596,5443,40492,2544,27.6,16.9,25.7,15,14.8,2.5,27.6
2,Accomack,Virginia,VirginiaAccomack,16938,9172,7578,42260,2253,31.1,17.7,18.8,15.1,17.3,4.5,22
3,Ada,Idaho,IdahoAda,259389,130699,120539,60151,1294,43,16.6,25,6.9,8.4,6.9,20.4
4,Adair,Iowa,IowaAdair,4183,2917,1197,49477,2633,28.2,16.9,20,17.3,17.6,6.2,22.3
5,Adair,Kentucky,KentuckyAdair,8766,7275,1391,36575,3426,28.5,15.9,19.7,12.2,23.8,3.4,22.2
6,Adair,Missouri,MissouriAdair,10337,6391,3705,38750,2130,36.8,18.2,24.1,9.4,11.5,4,17.1
7,Adair,Oklahoma,OklahomaAdair,7108,5585,1387,33366,1560,23.9,17.6,19.4,14,25.2,3.2,23.1
8,Adams,Colorado,ColoradoAdams,234599,94874,132951,64087,991,29.8,18.9,24.1,13.7,13.5,5,29.2
9,Adams,Iowa,IowaAdams,2158,1528,590,49745,3996,37.4,14.3,17,13.1,18.3,5.3,19.6
10,Adams,Idaho,IdahoAdams,2586,1941,591,42727,4646,33.1,19.4,21.2,13.9,12.5,10.9,24.1
11,Adams,Illinois,IllinoisAdams,33434,24131,8569,48454,1689,31.8,17.4,26.1,8.9,15.8,4.5,17
12,Adams,Indiana,IndianaAdams,14238,10685,3236,48290,2581,24.2,15.9,19.6,13.9,26.3,4.5,22.8
13,Adams,Mississippi,MississippiAdams,12268,5222,6914,30359,1438,30.5,20.6,23.6,13,12.3,3.7,18.9
14,Adams,New Dakota,New DakotaAdams,1269,981,258,54700,10365,44.6,10.7,15,17.5,12.2,7.3,17.3
15,Adams,Nebraska,NebraskaAdams,14602,10085,4213,51721,2585,33.4,19.4,20.4,10.1,16.7,3.9,15.3
16,Adams,Ohio,OhioAdams,11905,9660,2130,36320,2651,28.3,18.9,16.7,13.6,22.5,4.8,36.5
17,Adams,Pennsylvania,PennsylvaniaAdams,56627,37563,18250,62661,1660,30.1,16.2,22.1,11,20.6,3.8,27.6
18,Adams,Washington,WashingtonAdams,5109,3449,1562,48131,5933,22.8,13.9,14.1,29.2,19.9,5.7,17.8
19,Adams,Wisconsin,WisconsinAdams,11818,7362,4329,44003,1500,23.6,22.7,21.8,12.5,19.4,6,28.3
20,Addison,Vermont,VermontAddison,870,379,445,61875,2338,40.8,16.4,18.2,13.1,11.5,9.4,23.8
21,Aiken,South Carolina,South CarolinaAiken,85185,51589,32275,47713,1780,34,16.9,22.9,10.7,15.5,2.9,24.9
22,Aitkin,Minnesota,MinnesotaAitkin,10010,6258,3607,45860,1405,30.7,19.9,23.1,13.2,13,5.4,26
23,Alachua,Florida,FloridaAlachua,142784,50891,89527,45478,1546,46.1,19.2,23.3,5.3,6.2,4.5,21.2
24,Alamance,North Carolina,North CarolinaAlamance,84710,45490,38186,44281,1192,33,17.4,23,10.3,16.2,2.9,23.6
25,Alameda,California,CaliforniaAlameda,750128,131985,602851,85743,940,48,16,20.4,6.4,9.2,6,32.5
26,Alamosa,Colorado,ColoradoAlamosa,7519,3676,3624,36315,4688,30.6,22.6,22.3,13.1,11.4,2.9,14.6
27,Albany,New York,New YorkAlbany,121529,45570,73189,62293,1234,44.7,17.3,25.1,5.5,7.5,3.5,20.4
28,Albany,Wyoming,WyomingAlbany,18617,8579,9092,45816,1840,42.1,20.8,19.2,10.1,7.8,4.7,12.7
29,Albemarle,Virginia,VirginiaAlbemarle,64284,20804,42466,72265,2910,54,15.5,18.7,6.2,5.6,7.6,21.9
30,Alcona,Michigan,MichiganAlcona,7063,4848,2142,39424,1705,23.5,20.9,22.9,13.2,19.6,5.3,24
31,Alcorn,Mississippi,MississippiAlcorn,15639,12689,2741,38919,1799,29.2,14.9,22.8,10.6,22.5,1.7,22.4
32,Alexander,Illinois,IllinoisAlexander,5631,3056,2522,31014,2759,26.8,27.8,25.9,4.9,14.6,2.6,27.3
33,Alexander,North Carolina,North CarolinaAlexander,20120,15806,4113,44523,2886,26.8,12.6,20.6,9.4,30.7,2.8,25.6
34,Alexandria,Virginia,VirginiaAlexandria,81806,14544,66240,93370,1553,58.5,16,16.1,4.7,4.6,5.2,31.8
35,Alfalfa,Oklahoma,OklahomaAlfalfa,2262,1978,232,57432,4840,31.6,15.8,18.9,20,13.8,3.5,18.8
36,Alger,Michigan,MichiganAlger,5135,3014,2053,42647,5475,27.9,23.2,23.1,8.1,17.7,8,21.3
37,Allamakee,Iowa,IowaAllamakee,7459,4733,2575,47895,3365,29.8,15.3,17.5,17.5,19.9,7.5,24.3
38,Allegan,Michigan,MichiganAllegan,67182,41381,24447,58487,1264,30.3,14.7,20.1,12.4,22.5,4.1,23.9
39,Allegany,Maryland,MarylandAllegany,29130,20213,8464,42771,1485,29.9,23.4,24.8,8.8,13.1,1.7,20.9
40,Allegany,New York,New YorkAllegany,17271,12670,4188,45359,1489,31.4,22.2,19.2,10.5,16.6,2.8,21.4
41,Alleghany,North Carolina,North CarolinaAlleghany,6040,4501,1480,38944,2715,29.7,18,22.6,15.3,14.4,4.2,25
42,Alleghany,Virginia,VirginiaAlleghany,8191,5859,2243,46020,4009,28.3,16.4,22.4,13.2,19.7,2.7,24.6
43,Allegheny,Pennsylvania,PennsylvaniaAllegheny,707837,275955,421004,56333,474,45,16.8,23.7,6.1,8.3,4.7,26.7
44,Allen,Indiana,IndianaAllen,168964,91885,72825,51091,655,33.7,16.5,24.3,7.6,17.9,4,21.3
45,Allen,Kansas,KansasAllen,5842,4155,1559,43031,2171,27.5,15.6,20.7,8.6,27.5,3.3,17.4
46,Allen,Kentucky,KentuckyAllen,9363,7586,1642,40598,2927,24.5,16.6,21.8,13.5,23.7,6.9,24.1
47,Allen,Ohio,OhioAllen,46362,32052,13611,47905,1708,28.2,18.4,21.8,8.5,23.2,2,18.9
48,Allen,Lousiana,LousianaAllen,9810,7574,2108,42176,3540,29.1,23.1,21.3,15,11.5,2.3,28.3
49,Allendale,South Carolina,South CarolinaAllendale,3593,835,2718,23331,2177,20.3,24,18.8,13.9,22.9,1.6,28.3
50,Alpena,Michigan,MichiganAlpena,16966,10686,6000,40954,1521,29.5,19.8,26.1,10,14.6,3.9,16.9
51,Alpine,California,CaliforniaAlpine,736,238,473,63438,4535,38.2,21.9,18.7,12.8,8.3,14,21.9
52,Amador,California,CaliforniaAmador,22282,13571,8147,60636,2765,32.7,23.2,24.1,9.9,10.1,6.4,32
53,Amelia,Virginia,VirginiaAmelia,7881,5390,2411,58535,5713,25.8,18.6,27.4,17.2,11.1,2.7,38
54,Amherst,Virginia,VirginiaAmherst,17719,11020,5673,49677,3603,27.9,20.3,24.7,9.8,17.4,2.6,24.1
55,Amite,Mississippi,MississippiAmite,5974,3781,2114,30129,3714,24.4,19.2,16.5,19.2,20.6,2.7,37.1
56,Anderson,Kansas,KansasAnderson,3720,2874,765,40986,4317,28.4,23.1,17.1,15,16.3,6.7,24.2
57,Anderson,Kentucky,KentuckyAnderson,13261,9651,3339,51681,3353,31.8,14.7,27.6,9.4,16.6,2.1,26.6
58,Anderson,South Carolina,South CarolinaAnderson,96093,67565,27169,45551,877,32.3,16.6,23.7,9.9,17.5,2.8,22.9
59,Anderson,Tennessee,TennesseeAnderson,35527,23163,11733,47206,2109,33.6,19,23.6,10.1,13.7,3,23.3
60,Anderson,Texas,TexasAnderson,19155,15062,3934,42313,2337,24.4,23.5,23.4,12.9,15.9,3.6,23.7
61,Andrew,Missouri,MissouriAndrew,9775,7256,2351,56658,5755,35.4,14.9,22.6,10.6,16.5,3.8,22.5
62,Andrews,Texas,TexasAndrews,5856,4937,849,70753,6115,21.3,13,24.2,22.7,18.8,2.5,19.8
63,Androscoggin,Maine,MaineAndroscoggin,,,,49538,1293,33.2,19.3,23.5,9.8,14.1,4.1,24.2
64,Angelina,Texas,TexasAngelina,34628,25070,9136,46472,1452,28.2,20.9,24,12.3,14.6,2.2,18.7
65,Anne,Maryland,MarylandAnne,293582,123337,164255,94502,1251,47,15.4,23,7.5,7.1,5.1,30.2
66,Anoka,Minnesota,MinnesotaAnoka,210491,104903,100892,76796,917,36.6,15.9,24.2,9,14.2,4.5,28.1
67,Anson,North Carolina,North CarolinaAnson,11183,5321,5788,38123,3690,23.4,20.7,15.9,12.1,27.9,1.4,27.8
68,Antelope,Nebraska,NebraskaAntelope,3583,3093,452,46949,2107,36.2,15,18.9,17.2,12.7,9.8,16
69,Antrim,Michigan,MichiganAntrim,17347,9783,7289,50988,1365,27.5,21.6,22.5,10.8,17.7,7.3,25
70,Apache,Arizona,ArizonaApache,34397,11240,22730,32360,1213,29.7,25.4,20.6,11.5,12.8,6.2,26.7
71,Appanoose,Iowa,IowaAppanoose,6506,4512,1891,40377,2415,28.7,14,25.6,9.1,22.6,4.7,19.6
72,Appling,Georgia,GeorgiaAppling,8341,6526,1779,37089,3056,26,13.9,18.7,22.8,18.6,2.6,22
73,Appomattox,Virginia,VirginiaAppomattox,9239,6702,2418,54875,5421,33.2,16.8,23.3,12.9,13.9,5.1,31.9
74,Aransas,Texas,TexasAransas,12241,9210,2896,44601,3698,28.2,23.3,22.1,16.5,9.8,6.8,20.8
75,Arapahoe,Colorado,ColoradoArapahoe,346740,126124,211498,69553,846,41.4,16.7,25,7.9,9,6.8,27.7
76,Archer,Texas,TexasArcher,4796,4300,446,63192,4765,34.2,13.4,25.3,12.9,14.2,4.7,20.4
77,Archuleta,Colorado,ColoradoArchuleta,9030,5126,3693,48016,5197,37.3,17,20,16.5,9.2,9.7,17.2
78,Arenac,Michigan,MichiganArenac,8830,5928,2773,39947,1456,25.6,21.1,22,11.6,19.7,3,27.2
79,Arkansas,Arkansas,ArkansasArkansas,6284,4301,1813,38532,2759,27.7,15.5,23.6,8.5,24.7,3.1,14.6
80,Arlington,Virginia,VirginiaArlington,129498,22318,105344,112138,2139,69,10.5,13.8,4.1,2.7,6.6,28.6
81,Armstrong,Pennsylvania,PennsylvaniaArmstrong,36111,27284,8406,47527,1677,28.3,19,21.2,13.6,17.9,3.5,29.7
82,Armstrong,Texas,TexasArmstrong,1112,1035,75,68750,10647,32.9,15.3,18,25,8.9,11.3,27.4
83,Aroostook,Maine,MaineAroostook,,,,39021,1177,31.6,18.6,22.3,12.9,14.8,4.3,17.6
84,Arthur,Nebraska,NebraskaArthur,284,260,21,41250,6988,46.9,9.6,11.3,20.3,11.9,13.6,20.8
85,Ascension,Lousiana,LousianaAscension,62325,40687,20399,74748,2416,37.3,15,23.5,11,13.1,3.6,30
86,Ashe,North Carolina,North CarolinaAshe,15691,11368,4149,40293,2235,26.2,22.5,22.4,14,14.8,4.1,26.5
87,Ashland,Ohio,OhioAshland,25883,19002,6448,50893,1608,29.2,16.9,20.7,10.6,22.5,3.3,24.4
88,Ashland,Wisconsin,WisconsinAshland,8757,3841,4801,41505,2162,31.2,23.5,20.4,10,14.9,4.4,16.5
89,Ashley,Arkansas,ArkansasAshley,7926,5548,2125,36407,2317,27.5,16.8,18.9,13.7,23,1.6,20.4
90,Ashtabula,Ohio,OhioAshtabula,43253,26225,16207,43017,1597,26.1,18.4,21.4,9.2,24.9,2.7,25.9
91,Asotin,Washington,WashingtonAsotin,11795,7259,4233,47483,4845,30,19.5,27.3,11.1,12.1,4.1,15.4
92,Assumption,Lousiana,LousianaAssumption,11235,7271,3833,48656,4294,26.1,18.6,20.9,18.3,16.1,1.5,29.6
93,Atascosa,Texas,TexasAtascosa,18085,12020,5865,55194,4735,25.8,21.1,19.7,18.7,14.7,5.9,30.8
94,Atchison,Kansas,KansasAtchison,7312,4826,2314,46640,4084,33,17.1,24.1,8,17.8,6.1,19.8
95,Atchison,Missouri,MissouriAtchison,2814,2199,564,45259,3028,31.9,21.6,18.4,10.5,17.6,3.5,17.9
96,Athens,Ohio,OhioAthens,24876,10386,14047,37191,2008,36.5,23.5,22.8,7.8,9.4,4.5,20.2
97,Atkinson,Georgia,GeorgiaAtkinson,3155,2300,825,33063,1483,21.6,9.7,22.2,23,23.5,1.2,22.9
98,Atlantic,New Jersey,New JerseyAtlantic,131980,60957,68978,57514,1710,31,29.3,23.1,8.2,8.4,2.5,24.2
99,Atoka,Oklahoma,OklahomaAtoka,5389,4557,765,37106,1903,28.9,19.8,21.3,13,16.9,5.4,25.3
100,Attala,Mississippi,MississippiAttala,8832,5178,3542,33815,1867,26.1,18.5,19.6,13.7,22.2,0.9,28.3
101,Audrain,Missouri,MissouriAudrain,10660,7727,2703,44056,2242,26.8,20.5,20.8,10.3,21.5,4.1,21
102,Audubon,Iowa,IowaAudubon,3416,2295,1071,48750,2762,29.6,17.3,22,14.9,16.1,5.2,19.2
103,Auglaize,Ohio,OhioAuglaize,25396,20451,4583,59516,1900,29.8,14.5,20.6,8.2,26.8,2.7,19.6
104,Augusta,Virginia,VirginiaAugusta,42162,30714,10840,59544,2220,32.8,16.7,22.9,9.3,18.3,5,23.7
105,Aurora,South Dakota,South DakotaAurora,1405,1052,317,57257,3400,35.6,16.9,16.8,17.6,13.1,9.5,16.4
106,Austin,Texas,TexasAustin,14368,11282,2931,62614,6451,30.9,15.7,23.6,12.5,17.4,4.6,31.1
107,Autauga,Alabama,AlabamaAutauga,27639,19764,7450,55317,2838,35.3,18,23.2,8.1,15.4,2.5,25.8
108,Avery,North Carolina,North CarolinaAvery,9339,7092,2171,37109,3320,29.8,25.7,20.7,14.1,9.7,3.4,22.5
109,Avoyelles,Lousiana,LousianaAvoyelles,17292,12028,4979,36763,2183,31.6,24.4,17.4,12.6,14,1.6,30.2
110,Baca,Colorado,ColoradoBaca,2193,1840,313,35898,2615,39.7,19.2,15.3,19,6.8,8.3,14.5
111,Bacon,Georgia,GeorgiaBacon,4668,4018,625,38824,3793,30.7,12,22.4,18.6,16.2,2.1,20.4
112,Bailey,Texas,TexasBailey,1854,1430,407,43523,7943,22.9,20.7,17.4,24,15,8.6,16.5
113,Baker,Florida,FloridaBaker,14082,11911,2037,59506,4489,29.9,19,26.7,10.6,13.9,3.5,29.9
114,Baker,Georgia,GeorgiaBaker,1555,897,652,43867,6318,28.5,11.4,27.8,19.9,12.4,1.5,27.4
115,Baker,Oregan,OreganBaker,9878,7316,2332,43765,3354,33.6,15.4,20.6,15.4,15,7.4,16
116,Baldwin,Alabama,AlabamaBaldwin,108945,83055,24344,52562,1348,35.7,18.2,25.6,9.7,10.8,5.6,27
117,Baldwin,Georgia,GeorgiaBaldwin,18251,8903,9140,37008,2546,30.3,26.9,20.2,9.8,12.8,1.7,21.7
118,Ballard,Kentucky,KentuckyBallard,4225,3356,825,42988,2753,27.7,17.3,23.8,9.9,21.3,3.6,23.6
119,Baltimore,Maryland,MarylandBaltimore,346035,130085,210155,71810,964,43.4,16.6,24.4,7,8.6,4,29.5
120,Baltimore,Maryland,MarylandBaltimore,220296,23872,193130,46641,774,42.1,20.7,21.8,5.3,10,3.8,30.7
121,Bamberg,South Carolina,South CarolinaBamberg,6482,2417,4010,32330,6355,32.1,19.4,17.3,11.6,19.5,1.7,24.4
122,Bandera,Texas,TexasBandera,12703,10050,2503,56413,5522,35.7,17.4,22.7,17.5,6.7,7.6,37
123,Banks,Georgia,GeorgiaBanks,8801,7795,932,42182,3151,24.8,17,22.4,16.4,19.5,4.4,30.2
124,Banner,Nebraska,NebraskaBanner,410,362,43,55000,8235,52,5.5,17.3,13.8,11.3,21.5,24.8
125,Bannock,Idaho,IdahoBannock,39553,23331,14682,47390,1605,35.5,18.2,25.2,9,12.2,4.3,17.6
126,Baraga,Michigan,MichiganBaraga,4036,2512,1478,42757,2418,25.8,22.5,24.1,10.1,17.5,4,19
127,Barber,Kansas,KansasBarber,2313,1992,284,52075,4504,29.3,16,19.5,16.6,18.6,4.8,15.8
128,Barbour,Alabama,AlabamaBarbour,10457,5605,4772,33368,2551,25,16.8,22.6,11.5,24.1,1.3,23.4
129,Barbour,West Virginia ,West Virginia Barbour,6677,5116,1457,37516,2726,26.3,21.7,23.7,15.9,12.5,3.8,29.2
130,Barnes,New Dakota,New DakotaBarnes,5507,3532,1800,56237,5027,35.1,20.8,15.8,14.6,13.7,4.3,17
131,Barnstable,Massachusetts,MassachusettsBarnstable,27051,10824,15685,68048,1279,37.9,21.2,23.4,10.6,7,6.3,23.3
132,Barnwell,South Carolina,South CarolinaBarnwell,10321,5492,4720,34035,3260,23.9,20,23.5,12.6,20,1.7,27.6
133,Barren,Kentucky,KentuckyBarren,20079,14646,5115,39658,1505,28.4,14.7,21.5,9.8,25.6,5.1,20.7
134,Barron,Wisconsin,WisconsinBarron,25346,15803,9194,49257,1664,28.9,16.2,19.2,12.1,23.5,6.3,19.6
135,Barrow,Georgia,GeorgiaBarrow,38017,26804,10453,56119,2078,28,13.8,29.1,12.5,16.6,3.3,33.2
136,Barry,Michigan,MichiganBarry,35914,23473,11804,57312,1893,29,16.4,22.6,12.5,19.5,4.2,28.4
137,Barry,Missouri,MissouriBarry,15598,12425,2948,40638,2557,24.7,15.6,20.1,13.1,26.5,4.7,23.4
138,Bartholomew,Indiana,IndianaBartholomew,36299,22409,12934,57331,2560,40.7,14.4,18.9,6.4,19.5,2.7,19.6
139,Barton,Kansas,KansasBarton,10961,8480,2302,46070,3301,29.1,17.7,23.4,14.2,15.6,3.5,17.9
140,Barton,Missouri,MissouriBarton,6077,5168,844,41184,2834,32.7,11.7,22.7,11.5,21.4,5.9,22.8
141,Bartow,Georgia,GeorgiaBartow,50465,37673,12091,52393,2222,29.9,16.6,22.8,12.1,18.6,5.3,27.9
142,Bastrop,Texas,TexasBastrop,36709,20486,15452,59185,2756,33.3,16.3,21.6,16.2,12.6,3.9,34.4
143,Bates,Missouri,MissouriBates,8435,6595,1672,45605,2524,27.1,20.1,20.9,16.1,15.9,8.1,30.1
144,Bath,Kentucky,KentuckyBath,5627,3986,1573,38763,3975,26.3,17.9,17.5,9.2,29.2,3.4,25.5
145,Bath,Virginia,VirginiaBath,2513,1824,674,44483,3178,21.6,30.4,19.9,11,17,6.3,24.5
146,Baxter,Arkansas,ArkansasBaxter,20968,15810,4625,40072,1602,30.1,19,22.9,10.5,17.6,3.3,16.4
147,Bay,Florida,FloridaBay,93131,66063,25572,50283,1571,32,22.2,25.1,10.2,10.5,3.3,22.8
148,Bay,Michigan,MichiganBay,60985,33347,26653,45983,1430,29.4,20.4,25,8.8,16.4,3.2,22.1
149,Bayfield,Wisconsin,WisconsinBayfield,10880,4617,6147,50110,1435,36,20.4,18.5,13.9,11.3,6.5,23.8
150,Baylor,Texas,TexasBaylor,1680,1478,179,36157,3798,34.2,17.9,27.2,14.9,5.9,0.6,10.6
151,Beadle,South Dakota,South DakotaBeadle,7081,4808,2107,48995,3809,29.7,13,23.5,9.4,24.3,3.6,13.9
152,Bear,Idaho,IdahoBear,3215,2814,350,50603,4499,23.1,20.2,24.2,18.6,13.9,6.4,23
153,Beaufort,North Carolina,North CarolinaBeaufort,26128,16352,9575,41101,2273,31.5,17.4,20.8,14.1,16.1,4.3,25.1
154,Beaufort,South Carolina,South CarolinaBeaufort,97835,53194,43419,60603,1522,34.7,23.8,23.2,10.8,7.5,6.9,22.4
155,Beauregard,Lousiana,LousianaBeauregard,16357,13575,2542,47350,3568,29.2,16.2,21.2,18.2,15.3,1.6,30.1
156,Beaver,Oklahoma,OklahomaBeaver,2178,1968,190,52571,2659,33.8,12.6,19.1,18.5,15.9,6.5,19.3
157,Beaver,Pennsylvania,PennsylvaniaBeaver,93083,54108,37747,53981,1083,33.8,17.4,25.4,8.8,14.6,4,25.6
158,Beaver,Utah,UtahBeaver,3076,2673,356,47878,4577,23.9,18.7,25.1,15.9,16.4,3.4,16
159,Beaverhead,Montana,MontanaBeaverhead,5661,3923,1608,43880,5838,34.1,19.4,21.8,15,9.7,8,14.2
160,Becker,Minnesota,MinnesotaBecker,19418,12452,6592,55884,2108,32.8,17.7,18.8,13.8,16.8,7.2,22.4
161,Beckham,Oklahoma,OklahomaBeckham,7948,6767,1048,49625,5818,25.6,17.9,24.2,14.9,17.4,2.4,17
162,Bedford,Pennsylvania,PennsylvaniaBedford,27574,23025,4367,48703,1665,25.7,18.3,21.2,13.4,21.4,4.6,27.2
163,Bedford,Tennessee,TennesseeBedford,19039,14317,4443,47117,2721,24.7,14.8,21.5,12,27,3.5,25.1
164,Bedford,Virginia,VirginiaBedford,48484,35600,12176,59405,1577,34.9,16.5,24.1,9.9,14.7,4.3,26.9
165,Bee,Texas,TexasBee,9405,5999,3280,45415,4540,20.9,24.2,26.1,12.1,16.7,2.6,21.9
166,Belknap,New Hampshire,New HampshireBelknap,,,,65834,3253,37.5,17.8,23.6,11.3,9.8,4.9,26.4
167,Bell,Kentucky,KentuckyBell,10044,8140,1789,23558,2343,24.6,19,22.4,13.7,20.3,2.9,20.6
168,Bell,Texas,TexasBell,125867,67113,56032,52583,994,33.1,19.9,25.9,9.4,11.7,3.5,20.6
169,Belmont,Ohio,OhioBelmont,32534,23092,9007,46484,1587,28.3,20.4,22.4,14.1,14.8,2,23.2
170,Beltrami,Minnesota,MinnesotaBeltrami,24131,12188,11426,45923,1753,33.7,22,23.4,10.3,10.6,6.1,19.8
171,Ben,Georgia,GeorgiaBen,6560,4110,2392,32344,2976,24.3,18.1,18.7,11.3,27.6,0.6,17.5
172,Benewah,Idaho,IdahoBenewah,4972,3878,977,43472,3699,22.1,22.1,17.9,14.8,23.1,4.2,20.8
173,Bennett,South Dakota,South DakotaBennett,1183,694,466,45725,3810,37,17.7,22.7,13.3,9.4,11.5,17.4
174,Bennington,Vermont,VermontBennington,7096,2473,4369,52251,3311,36.1,18.7,21.6,10.1,13.5,8,19.3
175,Benson,New Dakota,New DakotaBenson,1961,1094,822,44500,3237,36.5,20.1,18.3,13.7,11.3,9.5,18
176,Bent,Colorado,ColoradoBent,2229,1468,723,32500,3442,31,27.2,18.5,13.9,9.3,3.5,20.1
177,Benton,Arkansas,ArkansasBenton,119166,73605,41894,61271,1146,37.6,13.4,26,8.7,14.4,3.7,19.9
178,Benton,Iowa,IowaBenton,14627,9179,5156,64061,3365,31.8,13.3,23.9,11.9,19.2,4.8,23.8
179,Benton,Indiana,IndianaBenton,4115,3007,1009,49183,4226,25.2,12.9,24.5,14.1,23.3,6,26.3
180,Benton,Minnesota,MinnesotaBenton,22219,14382,7281,53574,2425,31.1,17.2,22.9,9.8,19,4.1,23.1
181,Benton,Missouri,MissouriBenton,10478,8106,2179,35097,2364,31,18.5,21.4,11.5,17.6,6.7,27.4
182,Benton,Mississippi,MississippiBenton,4257,2553,1661,40605,5982,24.4,12.1,20.9,11.7,30.9,2.1,30.5
183,Benton,Oregan,OreganBenton,52719,14853,35780,54682,2361,50.2,17.8,18.3,6.5,7.1,7.5,19.6
184,Benton,Tennessee,TennesseeBenton,7250,5661,1526,33702,3317,23.2,19.3,21.3,12.2,23.9,1.1,24.4
185,Benton,Washington,WashingtonBenton,100997,59746,38081,63001,1568,39.4,16.3,21.2,11.3,11.8,4.2,21.8
186,Benzie,Michigan,MichiganBenzie,12259,6600,5480,53185,3219,31,20.5,22.9,13.4,12.2,6.1,26.2
187,Bergen,New Jersey,New JerseyBergen,448647,182831,259358,91572,1122,47.9,13.5,24.3,6.3,8,4.7,32.3
188,Berkeley,South Carolina,South CarolinaBerkeley,104458,57397,45223,56697,1142,33.1,17.6,24,11.3,13.8,3.6,27.3
189,Berkeley,West Virginia ,West Virginia Berkeley,49146,32062,16075,59480,2334,33.9,17.2,24.3,9.5,15,3.8,31.2
190,Berks,Pennsylvania,PennsylvaniaBerks,198260,105941,89530,59580,931,31.8,16.7,23.3,8.7,19.4,3.9,24.9
191,Berkshire,Massachusetts,MassachusettsBerkshire,,,,55190,1350,37.7,21.5,23,8.9,8.9,5.6,20
192,Bernalillo,New Mexico,New MexicoBernalillo,315332,115674,192042,50386,670,40.2,19.9,23.9,8.3,7.7,4.4,21.9
193,Berrien,Georgia,GeorgiaBerrien,7743,6419,1269,38297,3248,22.8,19.7,20.6,15.9,21.1,2.3,23.8
194,Berrien,Michigan,MichiganBerrien,82378,43518,37438,47132,1298,34.2,18.5,22.3,9,16,4.5,19.3
195,Bertie,North Carolina,North CarolinaBertie,9676,3778,5846,31287,1747,23.7,16,18.6,12.7,29,3.1,24.8
196,Bexar,Texas,TexasBexar,756021,303871,440823,53999,449,34.8,19.6,26,9.7,10,4.2,25
197,Bibb,Alabama,AlabamaBibb,9573,7508,1982,43404,3431,24.4,17.6,19.7,15.9,22.4,1.5,30
198,Bibb,Georgia,GeorgiaBibb,70802,26585,43468,38183,1684,34.8,21.1,26.7,6.4,11,3,21.1
199,Bienville,Lousiana,LousianaBienville,7050,3891,3067,34077,3437,30,15.8,19.1,13.9,21.2,2.8,32.6
200,Big,Montana,MontanaBig,4669,2185,2401,47276,4170,33.9,22.6,22.7,14,6.8,10,18.1
201,Big,Wyoming,WyomingBig,5752,4806,788,51716,3372,29.5,18.5,19.2,18.4,14.4,6,18.8
202,Big,Minnesota,MinnesotaBig,2972,1862,1052,48299,3265,31.7,13.2,23.2,16.2,15.6,7.5,17.5
203,Billings,New Dakota,New DakotaBillings,635,541,72,91518,28856,34.9,13.5,17.5,16.3,17.9,13.6,27.6
204,Bingham,Idaho,IdahoBingham,20094,15295,4124,51307,2748,31.2,17.6,20.5,15.7,14.9,4.8,21.9
205,Black,Iowa,IowaBlack,66549,29623,35621,50916,994,31.8,18.4,24.3,7.4,18.2,3.2,15.7
206,Blackford,Indiana,IndianaBlackford,5354,3838,1376,40622,2254,22.7,14.4,21.2,10.7,31,2.3,23.5
207,Bladen,North Carolina,North CarolinaBladen,17009,9623,7281,32396,2931,25.2,20.5,19,16.6,18.8,2.8,24.7
208,Blaine,Idaho,IdahoBlaine,13288,4031,8919,58835,5130,31.3,28.5,20.2,12.8,7.3,9.3,19.2
209,Blaine,Montana,MontanaBlaine,3121,1469,1589,35506,2516,37.2,15.2,20.2,18.4,9.1,8.6,15.5
210,Blaine,Nebraska,NebraskaBlaine,317,280,35,52000,2382,44.7,9.6,11.7,22.7,11.3,23.8,20.6
211,Blaine,Oklahoma,OklahomaBlaine,3901,3136,688,46362,5512,35,15.9,21.8,11.8,15.5,5.8,17.2
212,Blair,Pennsylvania,PennsylvaniaBlair,62784,44714,17425,45664,1034,31.2,18.6,25.3,8.8,16,2.9,20.1
213,Blanco,Texas,TexasBlanco,7419,5429,1905,58500,4789,33.6,18.2,21,16.7,10.4,9.2,27.8
214,Bland,Virginia,VirginiaBland,3475,2903,532,46927,6003,23.7,21.4,29.8,5.4,19.8,2.8,32.8
215,Bleckley,Georgia,GeorgiaBleckley,5706,4328,1311,40688,3305,30.1,20.3,22.9,12.9,13.8,3.4,24.2
216,Bledsoe,Tennessee,TennesseeBledsoe,5758,4725,971,40450,2756,25.5,15.1,18.8,19,21.6,4.1,30.4
217,Blount,Alabama,AlabamaBlount,27459,24595,2627,47412,2630,28.5,12.9,23.3,15.8,19.5,2.1,35
218,Blount,Tennessee,TennesseeBlount,66306,47195,17834,51172,1719,32.8,15.9,26.3,10.5,14.5,4,24.8
219,Blue,Minnesota,MinnesotaBlue,35969,16731,18330,53752,1543,33.7,19.9,23.7,8,14.7,5,17.3
220,Boise,Idaho,IdahoBoise,4840,3495,1214,49964,9226,40.3,13.9,24.4,10.4,11.1,9.9,38.1
221,Bolivar,Mississippi,MississippiBolivar,11631,4260,7203,28468,2121,31.1,22.3,22.7,10,13.9,2.6,18
