,State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Total Votes 2020,Votes 2020 Donald Trump,Votes 2020  Joe Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,Mean Commute (minutes),Batteries,CoalIntegratedGasificationCombinedCycle,ConventionalHydroelectric,ConventionalSteamCoal,Flywheels,Geothermal,HydroelectricPumpedStorage,LandfillGas,MunicipalSolidWaste,NaturalGasFiredCombinedCycle,NaturalGasFiredCombustionTurbine,NaturalGasInternalCombustionEngine,NaturalGasSteamTurbine,NaturalGaswithCompressedAirStorage,Nuclear,OffshoreWindTurbine,OnshoreWindTurbine,OtherGases,OtherNaturalGas,OtherWasteBiomass,PetroleumCoke,PetroleumLiquids,SolarPhotovoltaic,SolarThermalwithEnergyStorage,SolarThermalwithoutEnergyStorage,Wood/WoodWasteBiomass
84,Ohio,Lake,OhioLake,140,59,37,31.8,27.4,110740,10136,112379,117673,43.7,230052,127867.0,71615.0,54337.0,61137,1160,36.9,16.5,24.3,7.2,15.1,3.3,23.6,0,0,10,8,0,5,2,6,1,3,6,4,0,0,1,0,0,13,0,0,0,5,14,0,0,0
85,California,Madera,CaliforniaMadera,250,113,61,24.9,14.6,55089,6649,74683,80330,33.9,155013,52029.0,28458.0,22438.0,48210,2108,23.9,17.3,22.0,23.0,13.8,3.6,25.6,0,0,11,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,8,0,0,1
86,California,Marin,CaliforniaMarin,206,57,33,10.5,59.5,121476,8662,127113,133182,46.5,260295,151603.0,23662.0,125172.0,104703,1763,53.8,14.4,21.4,5.7,4.6,10.7,31.7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,California,Mariposa,CaliforniaMariposa,618,111,47,24.4,24.6,6381,781,8920,8620,51.4,17540,10280.0,5950.0,4088.0,51385,3637,30.5,32.7,20.6,8.0,8.2,9.2,30.9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,California,Mendocino,CaliforniaMendocino,456,76,34,25.0,24.4,33723,3292,43439,43983,42.8,87422,25171.0,6312.0,18303.0,46528,1787,32.5,22.0,22.6,14.4,8.5,8.1,19.8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,California,Merced,CaliforniaMerced,183,95,53,25.3,13.8,100755,13981,135816,133259,30.9,269075,81356.0,35240.0,44260.0,46338,1301,23.4,19.0,21.6,19.1,17.0,3.4,27.0,1,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,1
90,California,Mono,CaliforniaMono,1928,199,40,24.2,28.8,6917,929,7341,6833,38.3,14174,6713.0,2504.0,3998.0,60595,6356,37.0,30.3,18.0,7.3,7.3,9.3,16.1,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,California,Monterey,CaliforniaMonterey,250,63,36,20.3,24.7,190389,23082,220967,212245,34.1,433212,155994.0,43439.0,109145.0,63249,1209,28.5,20.1,20.2,20.4,10.9,4.6,22.4,0,0,0,0,0,0,0,5,0,8,5,0,0,0,0,0,6,0,4,3,0,0,2,0,0,0
92,California,Napa,CaliforniaNapa,199,62,36,17.8,35.7,62853,6014,70082,70448,41.1,140530,67847.0,19388.0,46962.0,79637,1895,36.3,21.2,21.5,10.7,10.3,5.6,24.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0
93,California,Nevada,CaliforniaNevada,252,90,41,18.4,37.2,42787,3702,48889,50203,50.1,99092,54177.0,22059.0,30860.0,60610,2262,41.3,20.3,22.7,8.3,7.5,10.4,24.5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,California,Orange,CaliforniaOrange,218,108,51,17.2,40.6,1416738,136563,1562429,1601753,37.8,3164182,1503039.0,667038.0,805222.0,81851,570,40.9,17.5,24.8,6.6,10.2,5.6,27.4,19,0,11,3,0,0,0,17,0,21,11,3,11,0,0,0,0,4,4,9,0,6,45,0,0,1
95,Florida,Orange,FloridaOrange,93,51,36,24.4,34.6,659050,78496,648446,672748,34.9,1321194,647059.0,245325.0,394857.0,51586,483,36.3,20.9,26.3,7.3,9.2,5.3,27.6,19,0,11,3,0,0,0,17,0,21,11,3,11,0,0,0,0,4,4,9,0,6,45,0,0,1
96,New York,Orange,New YorkOrange,97,47,36,29.3,30.3,167957,15308,189484,188743,36.9,378227,139956.0,76218.0,61868.0,75146,1717,35.6,19.0,25.7,8.2,11.4,5.1,33.4,19,0,11,3,0,0,0,17,0,21,11,3,11,0,0,0,0,4,4,9,0,6,45,0,0,1
97,Texas,Orange,TexasOrange,103,62,41,37.2,15.5,32241,3786,41630,42417,37.8,84047,35974.0,29170.0,6354.0,53667,2201,29.4,15.7,23.3,14.0,17.5,1.7,23.9,19,0,11,3,0,0,0,17,0,21,11,3,11,0,0,0,0,4,4,9,0,6,45,0,0,1
98,California,Placer,CaliforniaPlacer,222,108,54,18.0,39.7,171319,13573,185511,194566,41.9,380077,215442.0,110859.0,99585.0,80488,1431,44.0,16.6,25.7,7.4,6.4,8.3,27.3,0,0,18,0,0,0,0,6,0,3,2,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2
99,California,Plumas,CaliforniaPlumas,469,146,49,26.1,23.7,6753,806,9423,9276,52.2,18699,10950.0,6247.0,4465.0,50266,3476,32.4,25.1,18.6,13.9,10.0,5.7,21.9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,California,Riverside,CaliforniaRiverside,576,159,87,26.9,22.3,997725,109998,1186188,1197098,35.3,2383286,722913.0,323026.0,387200.0,60807,429,29.4,21.4,24.6,11.4,13.2,5.2,33.1,0,0,14,0,0,0,0,0,0,5,23,1,0,0,0,0,26,0,0,1,0,0,77,0,2,1
101,California,Sacramento,CaliforniaSacramento,200,100,52,22.4,30.9,641624,65558,737742,772281,36.0,1510023,536614.0,186311.0,338632.0,60239,475,38.4,19.6,24.8,7.9,9.3,5.5,26.9,0,0,5,0,0,0,0,3,0,10,3,0,1,0,0,0,0,0,0,0,0,2,45,0,0,0
102,California,Shasta,CaliforniaShasta,166,64,41,25.4,22.2,66484,6343,87859,91226,41.8,179085,88761.0,57894.0,28889.0,47258,1104,31.7,21.9,26.3,10.5,9.5,5.8,19.9,0,0,51,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6
103,California,Siskiyou,CaliforniaSiskiyou,359,61,36,25.5,23.2,15286,1637,21706,21834,48.0,43540,22991.0,12985.0,9456.0,40884,1957,32.9,21.3,21.9,14.4,9.5,8.9,18.9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,California,Solano,CaliforniaSolano,204,76,41,23.8,26.9,183607,19205,217931,220599,37.9,438530,201864.0,67793.0,129344.0,72950,1244,32.7,20.4,24.2,10.5,12.2,4.1,31.8,1,0,3,0,0,0,0,6,0,0,6,3,0,0,0,0,16,0,1,0,0,0,10,0,0,0
105,California,Sonoma,CaliforniaSonoma,187,53,33,18.7,35.5,225791,19300,245196,256121,41.7,501317,197603.0,40478.0,153342.0,71769,1046,37.2,20.0,22.4,10.6,9.8,6.9,25.2,0,0,1,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0
106,California,Stanislaus,CaliforniaStanislaus,189,102,55,29.3,17.1,214885,25756,266844,272457,34.0,539301,195857.0,94152.0,97430.0,54260,976,27.2,18.0,23.8,14.4,16.7,4.6,28.2,0,0,9,0,0,0,0,0,1,5,8,6,0,0,0,0,0,0,0,1,0,1,5,0,0,0
107,California,Sutter,CaliforniaSutter,303,89,48,23.3,18.2,40472,4995,47789,48083,35.7,95872,41694.0,23864.0,16961.0,54347,2000,29.6,19.1,22.3,16.5,12.5,4.6,26.4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,California,Tehama,CaliforniaTehama,196,93,43,30.1,15.7,23317,2262,31504,31869,40.9,63373,25005.0,16346.0,8105.0,42512,2803,23.7,22.1,23.6,14.3,16.3,4.7,23.5,0,0,4,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,1,0,0,0
109,California,Trinity,CaliforniaTrinity,193,79,27,34.8,19.5,4155,360,6582,6280,51.8,12862,5095.0,2513.0,2383.0,36563,5946,30.3,27.6,21.1,9.1,11.8,15.1,17.4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,California,Tulare,CaliforniaTulare,209,145,79,25.5,14.6,172852,26299,230255,230222,30.8,460477,142819.0,75471.0,64320.0,44871,1286,25.0,18.1,20.2,22.6,14.2,3.1,22.5,0,0,10,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,50,0,0,1
111,California,Tuolumne,CaliforniaTuolumne,143,64,41,28.3,20.5,17954,2084,28102,25830,48.4,53932,29820.0,17302.0,11808.0,54325,2700,32.8,25.6,21.2,11.7,8.7,6.5,27.0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
112,California,Ventura,CaliforniaVentura,174,90,47,19.2,33.8,373903,34964,419588,428524,37.9,848112,417057.0,159791.0,248349.0,81972,983,37.8,17.1,23.3,11.7,10.0,5.7,26.6,0,0,3,0,0,0,0,0,0,2,5,3,2,0,0,0,0,0,0,3,0,0,1,0,0,0
113,California,Yolo,CaliforniaYolo,192,84,42,18.1,41.4,97111,7915,104375,110602,31.0,214977,64934.0,16128.0,47504.0,61621,1733,44.2,18.7,18.8,9.0,9.3,5.0,23.2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1
114,Colorado,Adams,ColoradoAdams,151,72,47,28.6,24.3,252469,22029,250704,246411,33.6,497115,234599.0,94874.0,132951.0,64087,991,29.8,18.9,24.1,13.7,13.5,5.0,29.2,1,0,6,2,0,0,0,0,0,7,8,0,5,0,0,0,8,0,0,1,0,5,18,0,0,1
115,Illinois,Adams,IllinoisAdams,84,50,38,35.4,25.0,29287,1972,32481,33946,41.3,66427,33434.0,24131.0,8569.0,48454,1689,31.8,17.4,26.1,8.9,15.8,4.5,17.0,1,0,6,2,0,0,0,0,0,7,8,0,5,0,0,0,8,0,0,1,0,5,18,0,0,1
116,Ohio,Adams,OhioAdams,81,45,27,44.5,13.2,9968,1013,13950,13928,42.0,27878,11905.0,9660.0,2130.0,36320,2651,28.3,18.9,16.7,13.6,22.5,4.8,36.5,1,0,6,2,0,0,0,0,0,7,8,0,5,0,0,0,8,0,0,1,0,5,18,0,0,1
117,Pennsylvania,Adams,PennsylvaniaAdams,86,54,40,39.9,22.3,50293,3742,50224,51799,43.6,102023,56627.0,37563.0,18250.0,62661,1660,30.1,16.2,22.1,11.0,20.6,3.8,27.6,1,0,6,2,0,0,0,0,0,7,8,0,5,0,0,0,8,0,0,1,0,5,18,0,0,1
118,Washington,Adams,WashingtonAdams,241,33,13,28.7,14.3,8584,677,9844,9608,28.3,19452,5109.0,3449.0,1562.0,48131,5933,22.8,13.9,14.1,29.2,19.9,5.7,17.8,1,0,6,2,0,0,0,0,0,7,8,0,5,0,0,0,8,0,0,1,0,5,18,0,0,1
119,Colorado,Alamosa,ColoradoAlamosa,60,30,11,28.5,25.0,7868,535,8242,8202,30.4,16444,7519.0,3676.0,3624.0,36315,4688,30.6,22.6,22.3,13.1,11.4,2.9,14.6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
120,Colorado,Arapahoe,ColoradoArapahoe,159,76,45,20.8,42.8,337943,28825,314672,321999,36.5,636671,346740.0,126124.0,211498.0,69553,846,41.4,16.7,25.0,7.9,9.0,6.8,27.7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
121,Colorado,Boulder,ColoradoBoulder,173,84,47,11.7,62.1,180992,11887,161355,159675,36.2,321030,193656.0,39289.0,150247.0,75669,1234,53.2,15.6,19.4,5.0,6.7,11.8,22.7,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
122,Colorado,Delta,ColoradoDelta,97,51,41,38.3,21.7,13400,940,15235,15111,47.6,30346,19272.0,13013.0,5862.0,42487,4104,34.5,19.7,17.7,17.7,10.5,8.0,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
123,Colorado,Denver,ColoradoDenver,150,80,50,16.8,49.4,388924,34900,347188,346229,34.4,693417,393529.0,71543.0,313090.0,60098,950,46.1,16.8,21.5,7.9,7.7,7.6,25.3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
124,Colorado,Douglas,ColoradoDouglas,159,80,46,12.0,58.0,183412,11237,163766,164848,38.4,328614,230478.0,120661.0,104199.0,111154,1484,53.7,11.6,25.0,4.6,5.0,11.0,27.6,0,0,62,4,0,0,0,9,0,0,0,2,4,0,0,0,1,0,0,3,0,20,4,0,0,8
125,Georgia,Douglas,GeorgiaDouglas,77,44,32,30.4,28.2,66930,5367,67726,74114,36.4,141840,68806.0,25323.0,42653.0,59333,2092,34.3,15.6,26.2,9.2,14.7,4.8,32.7,0,0,62,4,0,0,0,9,0,0,0,2,4,0,0,0,1,0,0,3,0,20,4,0,0,8
126,Nebraska,Douglas,NebraskaDouglas,156,55,36,21.4,39.7,284846,15294,273743,281249,34.5,554992,269960.0,116696.0,146433.0,58640,1065,40.5,16.2,25.5,7.5,10.4,3.8,19.3,0,0,62,4,0,0,0,9,0,0,0,2,4,0,0,0,1,0,0,3,0,20,4,0,0,8
127,Nevada,Douglas,NevadaDouglas,249,60,17,24.4,29.4,20531,1934,24102,23726,51.5,47828,33537.0,21237.0,11390.0,61176,1683,36.1,23.7,21.4,10.0,8.7,7.5,23.9,0,0,62,4,0,0,0,9,0,0,0,2,4,0,0,0,1,0,0,3,0,20,4,0,0,8
128,Colorado,Fremont,ColoradoFremont,27,20,11,39.3,18.5,14203,1190,27324,19678,44.9,47002,25058.0,17231.0,7170.0,44712,1951,30.8,25.7,23.7,12.7,7.2,4.3,22.7,0,0,14,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,Wyoming,Fremont,WyomingFremont,158,58,45,29.7,24.3,18120,1206,20135,19941,38.4,40076,18111.0,12007.0,5519.0,55013,2341,33.5,20.7,19.4,14.8,11.5,6.6,17.9,0,0,14,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,Colorado,Garfield,ColoradoGarfield,122,74,46,27.0,31.0,29606,2156,29779,28759,36.3,58538,30216.0,14404.0,15070.0,66503,2244,32.1,19.6,21.0,17.3,10.0,6.8,31.6,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,4,6,0,0,0
131,Oklahoma,Garfield,OklahomaGarfield,72,11,0,36.2,22.9,25532,1475,31003,31187,36.0,62190,22430.0,16970.0,4919.0,50724,1975,28.7,17.1,20.9,15.2,18.0,2.8,16.6,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,4,6,0,0,0
132,Utah,Garfield,UtahGarfield,74,50,42,36.2,25.9,2365,269,2594,2423,41.2,5017,2722.0,2149.0,513.0,51700,7983,26.4,26.8,25.1,15.8,6.0,7.3,14.0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,4,6,0,0,0
133,Washington,Garfield,WashingtonGarfield,228,36,15,27.9,24.5,750,69,1099,1125,45.5,2224,1470.0,1062.0,362.0,51399,4518,33.7,19.9,23.7,9.5,13.2,6.2,20.0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,4,6,0,0,0
134,Colorado,Gunnison,ColoradoGunnison,108,54,44,15.9,56.2,10596,751,8983,7554,34.5,16537,10887.0,3599.0,6976.0,52651,4811,33.2,23.1,19.1,16.3,8.3,3.9,14.2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
135,Colorado,Jefferson,ColoradoJefferson,161,90,46,20.3,45.2,310057,23625,283919,286508,40.4,570427,376915.0,148227.0,218166.0,75170,854,45.6,14.9,24.5,7.6,7.5,7.8,27.5,0,0,75,24,0,0,0,12,0,20,26,37,12,0,0,0,1,4,0,2,0,5,14,0,0,5
136,Kentucky,Jefferson,KentuckyJefferson,115,61,45,26.7,33.4,363770,26717,370844,396310,38.1,767154,386093.0,150619.0,228288.0,52237,561,36.9,15.9,24.7,6.4,16.1,3.9,22.2,0,0,75,24,0,0,0,12,0,20,26,37,12,0,0,0,1,4,0,2,0,5,14,0,0,5
137,Missouri,Jefferson,MissouriJefferson,141,54,38,31.6,20.4,109655,7119,110887,112415,39.0,223302,116629.0,77021.0,37507.0,60765,969,31.3,17.9,25.1,12.4,13.3,3.7,30.9,0,0,75,24,0,0,0,12,0,20,26,37,12,0,0,0,1,4,0,2,0,5,14,0,0,5
138,New York,Jefferson,New YorkJefferson,90,44,33,34.7,22.2,39542,3753,59931,54517,32.4,114448,35530.0,22779.0,12053.0,50322,1205,32.2,22.1,23.6,12.3,9.8,5.0,17.4,0,0,75,24,0,0,0,12,0,20,26,37,12,0,0,0,1,4,0,2,0,5,14,0,0,5
139,Ohio,Jefferson,OhioJefferson,112,58,37,44.8,15.8,24721,2775,32489,34397,44.8,66886,32572.0,22309.0,9823.0,43161,1770,28.8,21.1,24.2,9.9,16.0,3.8,25.0,0,0,75,24,0,0,0,12,0,20,26,37,12,0,0,0,1,4,0,2,0,5,14,0,0,5
140,Tennessee,Jefferson,TennesseeJefferson,74,48,37,39.1,16.8,22853,1844,26099,27148,43.4,53247,23562.0,18609.0,4645.0,45641,2312,26.2,19.1,23.5,10.4,20.7,4.7,25.8,0,0,75,24,0,0,0,12,0,20,26,37,12,0,0,0,1,4,0,2,0,5,14,0,0,5
141,Texas,Jefferson,TexasJefferson,122,63,41,31.9,19.7,93022,12570,130660,124550,36.0,255210,94665.0,47535.0,46022.0,46315,1252,28.9,19.6,23.2,13.4,14.9,1.6,19.7,0,0,75,24,0,0,0,12,0,20,26,37,12,0,0,0,1,4,0,2,0,5,14,0,0,5
142,Washington,Jefferson,WashingtonJefferson,208,33,18,20.7,44.3,11850,1231,15354,15502,57.9,30856,24352.0,6786.0,17067.0,51842,3291,35.4,21.9,22.2,12.8,7.7,8.1,23.5,0,0,75,24,0,0,0,12,0,20,26,37,12,0,0,0,1,4,0,2,0,5,14,0,0,5
143,Wisconsin,Jefferson,WisconsinJefferson,136,51,38,33.4,25.4,42762,2451,42343,42309,40.7,84652,47967.0,27209.0,19904.0,59215,2680,32.0,18.5,21.8,9.6,18.2,4.2,23.8,0,0,75,24,0,0,0,12,0,20,26,37,12,0,0,0,1,4,0,2,0,5,14,0,0,5
144,Colorado,Larimer,ColoradoLarimer,157,87,48,19.0,47.3,190842,12841,168615,169546,35.9,338161,223653.0,91197.0,125765.0,64980,1414,43.4,17.4,22.5,8.1,8.6,7.5,22.8,0,0,10,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
145,Colorado,Mesa,ColoradoMesa,108,58,44,27.6,28.2,69917,5634,74027,75971,39.1,149998,85368.0,53344.0,30106.0,51971,1350,33.8,18.4,23.7,12.5,11.6,6.2,20.2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
146,Colorado,Montezuma,ColoradoMontezuma,126,58,44,29.3,29.6,11795,908,12760,13149,44.4,25909,15421.0,9267.0,5802.0,45645,3355,31.8,22.4,22.7,12.3,10.7,8.5,22.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Colorado,Prowers,ColoradoProwers,238,42,17,26.1,18.3,5937,276,6035,6017,38.0,12052,5507.0,3977.0,1438.0,41740,2550,32.9,19.0,22.7,16.3,9.1,7.0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0
148,Colorado,Pueblo,ColoradoPueblo,63,45,19,29.1,21.8,71037,6318,80962,83723,38.9,164685,86760.0,41502.0,43070.0,42386,1201,31.3,21.4,25.6,9.6,12.1,2.9,21.8,0,0,2,3,0,0,0,0,0,6,3,0,0,0,0,0,1,0,0,0,0,8,3,0,0,0
149,Colorado,Routt,ColoradoRoutt,68,29,14,20.2,49.8,14929,1277,12915,11959,39.8,24874,16767.0,5883.0,10523.0,67472,4036,34.2,24.3,23.0,11.3,7.2,9.2,17.9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Colorado,Weld,ColoradoWeld,140,82,48,27.3,27.5,155042,11624,148627,146496,34.3,295123,164791.0,94965.0,65169.0,66489,1582,33.2,16.9,22.7,13.0,14.2,5.5,26.7,1,0,0,0,0,0,0,1,0,14,6,0,0,0,0,0,4,0,0,0,0,0,16,0,0,0
151,Connecticut,Fairfield,ConnecticutFairfield,161,80,44,21.5,47.9,429164,37044,459963,484385,40.3,944348,35414.0,12052.0,22861.0,89773,1202,44.5,18.3,22.6,7.3,7.3,5.9,30.4,0,0,14,1,0,0,8,0,1,5,7,1,0,0,1,0,0,0,5,0,0,20,2,0,0,0
152,Connecticut,Hartford,ConnecticutHartford,98,55,39,26.6,38.1,437433,38682,434650,460080,40.4,894730,32686.0,4117.0,28295.0,69936,847,43.4,16.7,23.5,6.2,10.3,4.0,23.0,0,0,4,0,0,0,0,0,3,7,2,7,0,0,0,0,0,0,7,0,0,6,13,0,0,0
153,Connecticut,Litchfield,ConnecticutLitchfield,84,50,38,29.9,35.4,95102,7007,90447,92584,47.2,183031,5342.0,2555.0,2673.0,76438,1577,40.8,17.0,21.6,9.8,10.8,5.3,27.4,0,0,9,0,0,0,3,3,0,2,1,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0
154,Connecticut,Middlesex,ConnecticutMiddlesex,129,54,39,25.8,42.2,86211,6010,79676,83692,45.4,163368,,,,81673,1923,45.4,15.2,23.5,7.9,8.0,5.6,26.1,2,0,6,0,0,0,0,12,0,29,4,1,3,0,0,0,0,0,2,0,0,30,99,0,0,0
155,Massachusetts,Middlesex,MassachusettsMiddlesex,93,48,36,19.0,56.3,818205,64193,779666,815526,38.5,1595192,,,,92878,735,55.0,14.3,19.1,5.3,6.3,5.6,30.3,2,0,6,0,0,0,0,12,0,29,4,1,3,0,0,0,0,0,2,0,0,30,99,0,0,0
156,New Jersey,Middlesex,New JerseyMiddlesex,112,53,37,25.3,43.6,398298,38031,407247,419451,38.4,826698,298231.0,109625.0,184898.0,83133,856,45.1,13.9,23.2,6.5,11.3,4.2,33.3,2,0,6,0,0,0,0,12,0,29,4,1,3,0,0,0,0,0,2,0,0,30,99,0,0,0
157,Connecticut,Tolland,ConnecticutTolland,93,48,39,27.0,41.8,79362,5236,75821,75448,37.5,151269,9257.0,3975.0,5103.0,81312,1632,42.7,17.0,22.5,8.6,9.2,5.0,26.3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
158,Connecticut,Windham,ConnecticutWindham,87,44,35,33.2,24.3,57369,4849,57560,58978,41.3,116538,8348.0,2824.0,5365.0,62553,1889,33.1,20.5,23.0,10.6,12.8,4.1,26.3,0,0,33,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1
159,Vermont,Windham,VermontWindham,31,19,9,29.5,38.1,19687,1327,20937,22213,47.0,43150,282.0,83.0,187.0,50831,1962,40.2,19.3,19.7,11.4,9.3,12.1,21.3,0,0,33,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1
160,Delaware,Kent,DelawareKent,80,48,36,32.9,23.7,72843,6872,84271,90551,37.6,174822,87025.0,41009.0,44552.0,57647,1456,33.5,19.8,22.9,9.9,13.8,4.2,26.3,0,0,2,0,0,0,0,7,1,6,6,0,1,0,0,0,11,0,0,0,0,0,18,0,0,0
161,Maryland,Kent,MarylandKent,100,46,33,29.8,35.1,9026,638,9344,10249,47.5,19593,10015.0,4900.0,4914.0,56638,5150,36.5,19.8,23.3,11.0,9.4,11.0,26.7,0,0,2,0,0,0,0,7,1,6,6,0,1,0,0,0,11,0,0,0,0,0,18,0,0,0
162,Rhode Island,Kent,Rhode IslandKent,133,47,31,28.0,33.3,80562,7721,79219,84642,43.8,163861,,,,69047,2197,38.4,17.9,25.4,8.2,10.1,2.9,25.3,0,0,2,0,0,0,0,7,1,6,6,0,1,0,0,0,11,0,0,0,0,0,18,0,0,0
163,Delaware,Sussex,DelawareSussex,87,51,38,31.2,28.3,98014,7990,106429,113111,49.0,219540,129352.0,71230.0,56682.0,57901,1291,33.3,18.7,24.0,11.2,12.8,5.6,25.3,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0
164,Florida,Alachua,FloridaAlachua,105,52,36,21.2,43.3,127696,7235,127298,135850,31.3,263148,142784.0,50891.0,89527.0,45478,1546,46.1,19.2,23.3,5.3,6.2,4.5,21.2,0,0,0,1,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1
165,Florida,Baker,FloridaBaker,140,49,35,42.6,13.2,11179,580,14753,13032,37.6,27785,14082.0,11911.0,2037.0,59506,4489,29.9,19.0,26.7,10.6,13.9,3.5,29.9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0
166,Florida,Bay,FloridaBay,146,58,40,31.0,23.7,77746,5017,90768,91714,39.4,182482,93131.0,66063.0,25572.0,50283,1571,32.0,22.2,25.1,10.2,10.5,3.3,22.8,0,0,0,4,0,0,0,2,1,3,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,3
167,Florida,Brevard,FloridaBrevard,84,52,39,28.3,30.2,262867,18724,282023,294785,47.2,576808,360666.0,207857.0,148479.0,51536,616,38.4,19.1,24.7,8.5,9.4,6.0,24.5,0,0,0,0,0,0,0,6,0,4,9,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0
168,Florida,Broward,FloridaBroward,142,57,40,27.3,32.4,930297,90289,929712,979439,40.1,1909151,959418.0,333346.0,618597.0,54895,644,35.6,19.9,27.5,8.4,8.6,4.9,28.2,0,0,0,0,0,0,0,4,1,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
169,Florida,Citrus,FloridaCitrus,125,54,32,37.2,18.3,42582,3918,69376,73711,56.2,143087,93380.0,65348.0,27088.0,40574,1147,28.2,23.5,25.2,11.2,11.9,5.8,25.3,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Florida,Collier,FloridaCollier,85,54,36,25.8,36.4,165287,12210,179336,184586,50.3,363922,207758.0,128936.0,77595.0,62407,1257,30.6,24.2,24.1,13.5,7.6,7.3,24.5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
